,Region,1990,1995,2000,2005,2010,2015,2020
1,WORLD,12.4,11.2,9.5,7.2,7.3,9.9,12
2,  Sub-Saharan Africa,33.8,35.6,23.4,18.6,14.7,26.4,26.5
3,  Northern Africa and Western Asia,21.4,24.6,24.2,23.2,21.2,26.3,27.1
4,  Central and Southern Asia,26.8,17.5,21.2,12.8,17.8,17,18.4
5,  Eastern and South-Eastern Asia,6.7,5.6,5.8,3.9,3.3,3.4,3.4
6,  Latin America and the Caribbean,16.8,5.3,0.7,0.7,5.3,4.1,32.4
7,  Oceania (excluding Australia and New Zealand),3.1,3.4,2.4,3.3,3.3,3.6,3.5
8,  Australia and New Zealand,2.3,1.7,1.5,1.3,0.4,0.8,1.7
9,  Europe and Northern America,2.5,4.4,3.6,2.5,2,2.8,3.6
10,  Developed regions,2.5,4.2,3.4,2.4,1.8,2.6,3.5
11,  Less developed regions,24.1,20.9,18.7,14.7,15.2,19.3,23
12," Less developed regions, excluding least developed countries",20.1,16.1,16.6,13.4,14.6,17.5,20.1
13," Less developed regions, excluding China",24.7,21.4,19.2,15.1,15.5,19.8,23.6
14,  Least developed countries,45.6,44.2,30.8,23.8,19.7,32.3,42.4
15,  Land-locked Developing Countries (LLDC),17.4,13.8,12.3,11.9,8.5,19.2,24.2
16,  Small island developing States (SIDS),2.2,1.4,0.8,0.5,0.4,0.4,2.4
17,  High-income-countries,2.8,3.6,3,2.4,1.7,2.1,3.4
18,  Middle-income-countries,18,16.6,17.4,14,15.7,21.5,25.2
19, Upper-middle-income-countries,17.5,16.3,15.6,11.6,12.6,21.5,25.7
20, Lower-middle-income-countries,18.6,17,19.8,17.5,20.4,21.4,24.1
21,  Low-income-countries,51.4,47.7,31.9,25.6,33.8,40.9,49.6
22, AFRICA,36.3,36.4,24.6,18.8,15.4,27,29.3
23,  Eastern Africa,53.3,40.8,35,30.7,22.7,39.5,47.3
24,   Burundi,80.4,67.9,21.6,21.1,16.8,18.9,25.4
25,   Comoros,~,0,0.1,~,~,~,~
26,   Djibouti,44.6,27.4,23.1,11.4,15.5,19.6,25.7
27,   Eritrea,~,8.7,15.3,37.8,31.3,16,1.4
28,   Ethiopia,64.2,48.8,32.4,19.6,27.3,63.5,67.7
29,   Kenya,4.8,37.9,30.3,34.6,45.1,52.7,46.6
30,   Madagascar,~,~,0.2,~,~,0.1,0.7
31,   Malawi,77.6,0.4,1.7,4.3,6.9,11.9,23.2
32,   Mauritius*,~,~,~,~,~,~,0.1
33,   Mayotte*,~,~,~,~,~,~,~
34,   Mozambique,0.3,0.1,0.1,2.2,3.3,6.4,7.6
35,   Réunion*,~,~,~,~,~,~,~
36,   Rwanda,14.7,3.6,8.7,11.7,13,28.2,28.3
37,   Seychelles,~,~,~,~,~,~,~
38,   Somalia,96.2,3.2,2.8,2.8,54.1,44.4,60.9
39,   South Sudan,~,~,~,~,~,31.3,34.2
40,   Uganda,26.8,37.8,40.9,43.7,31.8,60.3,80.3
41,   United Republic of Tanzania*,46.2,75,74,71.2,35.7,55.6,63.8
42,   Zambia,49.4,53.2,73.1,61.6,32.1,21.8,33.3
43,   Zimbabwe,30.1,0.1,1,3.5,1.2,1.8,4.9
44,  Middle Africa,30.6,58,34.3,33.8,33.5,34.8,38.7
45,   Angola,35.8,28.6,27.3,23.9,5.8,7.2,8.5
46,   Cameroon,18.8,18.7,19.9,22.1,36.6,68.5,71.9
47,   Central African Republic,5,34,45.1,27.5,24.1,9.4,8.5
48,   Chad,~,0.1,16.9,78.2,83.5,79.8,81.5
49,   Congo,2.3,10.1,40.6,21.8,32.6,12.6,10.3
50,   Democratic Republic of the Congo,50.2,78.9,44.7,32.8,28.4,47.4,55.3
51,   Equatorial Guinea,~,~,~,~,~,~,~
52,   Gabon,0.3,0.5,9.8,5.7,4.9,0.8,0.1
53,   Sao Tome and Principe,~,~,~,~,~,~,~
54,  Northern Africa,50,42.1,32.5,20.6,20.5,33.5,49.1
55,   Algeria,61.7,73.5,67,47.7,43.5,42.1,40
56,   Egypt,1.1,3.2,9.8,35.1,35.3,70.9,59.7
57,   Libya,~,0.8,2,2,1.6,4.8,5.5
58,   Morocco,0.6,0.1,4,3.7,1.5,5.9,9.5
59,   Sudan,73.5,64,51.9,27.8,29.8,51.9,77.7
60,   Tunisia,0.1,0.5,1.2,0.3,0.3,1.3,5.4
61,   Western Sahara,~,~,~,~,~,~,~
62,  Southern Africa,9.7,8.8,5,11.4,10.3,35.2,9.2
63,   Botswana,4.4,0.7,4.7,3.7,3.4,2.2,1.1
64,   Eswatini,56.1,2,2,3,2.3,3,5.8
65,   Lesotho,27.1,15.5,~,~,~,0.4,1.9
66,   Namibia,~,1.5,21,5.9,8.4,2.8,4.7
67,   South Africa,7.7,10.1,3,12.6,10.9,37.7,9.7
68,  Western Africa,16.4,25.7,13.5,5.8,3.2,5.4,6.4
69,   Benin,0.9,2.2,3,12.9,2.3,0.2,0.4
